General codes:
0x00000000: BSE_INFO_SUCCESS      = The operation was completed successfully. 
0x00000000: PDF_S_SUCCESS         = The operation was completed successfully. 

BSE:
0x80308001:  BSE_ERROR_MEMORY_ALLOCATE         = Memory allocation error. 
0x8A04002D:  JPEG_E_JERR_MISMATCHED_QUANT_TABLE          = Error in DCT stream: Cannot transcode due to multiple use of quantization table %d. 
0x8A04002E:  JPEG_E_JERR_MISSING_DATA                    = Error in DCT stream: Scan script does not transmit all data. 
0x8A04002F:  JPEG_E_JERR_MODE_CHANGE                     = Error in DCT stream: Invalid color quantization mode change. 
0x8A040030:  JPEG_E_JERR_NOTIMPL                         = Error in DCT stream: Not implemented yet. 
0x8A040031:  JPEG_E_JERR_NOT_COMPILED                    = Error in DCT stream: Requested feature was omitted at compile time. 
0x8A040032:  JPEG_E_JERR_NO_ARITH_TABLE                  = Error in DCT stream: Arithmetic table 0x%02x was not defined. 
0x8A040033:  JPEG_E_JERR_NO_BACKING_STORE                = Error in DCT stream: Backing store not supported. 
0x8A040034:  JPEG_E_JERR_NO_HUFF_TABLE                   = Error in DCT stream: Huffman table 0x%02x was not defined. 
0x8A040035:  JPEG_E_JERR_NO_IMAGE                        = Error in DCT stream: JPEG datastream contains no image. 
0x8A040036:  JPEG_E_JERR_NO_QUANT_TABLE                  = Error in DCT stream: Quantization table 0x%02x was not defined. 
0x8A040037:  JPEG_E_JERR_NO_SOI                          = Error in DCT stream: Not a JPEG file: starts with 0x%02x 0x%02x. 
0x8A040038:  JPEG_E_JERR_OUT_OF_MEMORY                   = Error in DCT stream: Insufficient memory (case %d). 
0x8A040039:  JPEG_E_JERR_QUANT_COMPONENTS                = Error in DCT stream: Cannot quantize more than %d color components. 
0x8A04003A:  JPEG_E_JERR_QUANT_FEW_COLORS                = Error in DCT stream: Cannot quantize to fewer than %d colors. 
0x8A04003B:  JPEG_E_JERR_QUANT_MANY_COLORS               = Error in DCT stream: Cannot quantize to more than %d colors. 
0x8A04003C:  JPEG_E_JERR_SOF_BEFORE                      = Error in DCT stream: Invalid JPEG file structure: %S before SOF. 
0x8A04003D:  JPEG_E_JERR_SOF_DUPLICATE                   = Error in DCT stream: Invalid JPEG file structure: two SOF markers. 
0x8A04003E:  JPEG_E_JERR_SOF_NO_SOS                      = Error in DCT stream: Invalid JPEG file structure: missing SOS marker. 
0x8A04003F:  JPEG_E_JERR_SOF_UNSUPPORTED                 = Error in DCT stream: Unsupported JPEG process: SOF type 0x%02x. 
0x8A040040:  JPEG_E_JERR_SOI_DUPLICATE                   = Error in DCT stream: Invalid JPEG file structure: two SOI markers. 
0x8A040041:  JPEG_E_JERR_TFILE_CREATE                    = Error in DCT stream: Failed to create temporary file %S. 
0x8A040042:  JPEG_E_JERR_TFILE_READ                      = Error in DCT stream: Read failed on temporary file. 
0x8A040043:  JPEG_E_JERR_TFILE_SEEK                      = Error in DCT stream: Seek failed on temporary file. 
0x8A040044:  JPEG_E_JERR_TFILE_WRITE                     = Error in DCT stream: Write failed on temporary file --- out of disk space?. 
0x8A040045:  JPEG_E_JERR_TOO_LITTLE_DATA                 = Error in DCT stream: Application transferred too few scanlines. 
0x8A040046:  JPEG_E_JERR_UNKNOWN_MARKER                  = Error in DCT stream: Unsupported marker type 0x%02x. 
0x8A040047:  JPEG_E_JERR_VIRTUAL_BUG                     = Error in DCT stream: Virtual array controller messed up. 
0x8A040048:  JPEG_E_JERR_WIDTH_OVERFLOW                  = Error in DCT stream: Image too wide for this implementation. 
0x8A040049:  JPEG_E_JERR_XMS_READ                        = Error in DCT stream: Read from XMS failed. 
0x8A04004A:  JPEG_E_JERR_XMS_WRITE                       = Error in DCT stream: Write to XMS failed. 
0x8A04004B:  JPEG_E_JMSG_COPYRIGHT                       = Copyright (C) 2011, Thomas G. Lane, Guido Vollbeding. 
0x8A04004C:  JPEG_E_JMSG_VERSION                         = 8c  16-Jan-2011. 
0x8A04004D:  JPEG_E_JTRC_16BIT_TABLES                    = Error in DCT stream: Caution: quantization tables are too coarse for baseline JPEG. 
0x8A04004E:  JPEG_E_JTRC_ADOBE                           = Error in DCT stream: Adobe APP14 marker: version %d, flags 0x%04x 0x%04x, transform %d. 
0x8A04004F:  JPEG_E_JTRC_APP0                            = Error in DCT stream: Unknown APP0 marker (not JFIF), length %u. 
0x8A040050:  JPEG_E_JTRC_APP14                           = Error in DCT stream: Unknown APP14 marker (not Adobe), length %u. 
0x8A040051:  JPEG_E_JTRC_DAC                             = Error in DCT stream: Define Arithmetic Table 0x%02x: 0x%02x. 
0x8A040052:  JPEG_E_JTRC_DHT                             = Error in DCT stream: Define Huffman Table 0x%02x. 
0x8A040053:  JPEG_E_JTRC_DQT                             = Error in DCT stream: Define Quantization Table %d  precision %d. 
0x8A040054:  JPEG_E_JTRC_DRI                             = Error in DCT stream: Define Restart Interval %u. 
0x8A040055:  JPEG_E_JTRC_EMS_CLOSE                       = Error in DCT stream: Freed EMS handle %u. 
0x8A040056:  JPEG_E_JTRC_EMS_OPEN                        = Error in DCT stream: Obtained EMS handle %u. 
0x8A040057:  JPEG_E_JTRC_EOI                             = Error in DCT stream: End Of Image. 
0x8A040058:  JPEG_E_JTRC_HUFFBITS                        = Error in DCT stream:     %3d %3d %3d %3d %3d %3d %3d %3d. 
0x8A040059:  JPEG_E_JTRC_JFIF                            = Error in DCT stream: JFIF APP0 marker: version %d.%02d, density %dx%d  %d. 
0x8A04005A:  JPEG_E_JTRC_JFIF_BADTHUMBNAILSIZE           = Error in DCT stream: Warning: thumbnail image size does not match data length %u. 
0x8A04005B:  JPEG_E_JTRC_JFIF_EXTENSION                  = Error in DCT stream: JFIF extension marker: type 0x%02x, length %u. 
0x8A04005C:  JPEG_E_JTRC_JFIF_THUMBNAIL                  = Error in DCT stream: with %d x %d thumbnail image. 
0x8A04005D:  JPEG_E_JTRC_MISC_MARKER                     = Error in DCT stream: Miscellaneous marker 0x%02x, length %u. 
0x8A04005E:  JPEG_E_JTRC_PARMLESS_MARKER                 = Error in DCT stream: Unexpected marker 0x%02x. 
0x8A04005F:  JPEG_E_JTRC_QUANTVALS                       = Error in DCT stream:     %4u %4u %4u %4u %4u %4u %4u %4u. 
0x8A040060:  JPEG_E_JTRC_QUANT_3_NCOLORS                 = Error in DCT stream: Quantizing to %d      = %d*%d*%d colors. 
0x8A040061:  JPEG_E_JTRC_QUANT_NCOLORS                   = Error in DCT stream: Quantizing to %d colors. 
0x8A040062:  JPEG_E_JTRC_QUANT_SELECTED                  = Error in DCT stream: Selected %d colors for quantization. 
0x8A040063:  JPEG_E_JTRC_RECOVERY_ACTION                 = Error in DCT stream: At marker 0x%02x, recovery action %d. 
0x8A040064:  JPEG_E_JTRC_RST                             = Error in DCT stream: RST%d. 
0x8A040065:  JPEG_E_JTRC_SMOOTH_NOTIMPL                  = Error in DCT stream: Smoothing not supported with nonstandard sampling ratios. 
0x8A040066:  JPEG_E_JTRC_SOF                             = Error in DCT stream: Start Of Frame 0x%02x: width=%u, height=%u, components=%d. 
0x8A040067:  JPEG_E_JTRC_SOF_COMPONENT                   = Error in DCT stream: Component %d: %dhx%dv q=%d. 
0x8A040068:  JPEG_E_JTRC_SOI                             = Error in DCT stream: Start of Image. 
0x8A040069:  JPEG_E_JTRC_SOS                             = Error in DCT stream: Start Of Scan: %d components. 
0x8A04006A:  JPEG_E_JTRC_SOS_COMPONENT                   = Error in DCT stream: Component %d: dc=%d ac=%d. 
0x8A04006B:  JPEG_E_JTRC_SOS_PARAMS                      = Error in DCT stream:   Ss=%d, Se=%d, Ah=%d, Al=%d. 
0x8A04006C:  JPEG_E_JTRC_TFILE_CLOSE                     = Error in DCT stream: Closed temporary file %S. 
0x8A04006D:  JPEG_E_JTRC_TFILE_OPEN                      = Error in DCT stream: Opened temporary file %S. 
0x8A04006E:  JPEG_E_JTRC_THUMB_JPEG                      = Error in DCT stream: JFIF extension marker: JPEG-compressed thumbnail image, length %u. 
0x8A04006F:  JPEG_E_JTRC_THUMB_PALETTE                   = Error in DCT stream: JFIF extension marker: palette thumbnail image, length %u. 
0x8A040070:  JPEG_E_JTRC_THUMB_RGB                       = Error in DCT stream: JFIF extension marker: RGB thumbnail image, length %u. 
0x8A040071:  JPEG_E_JTRC_UNKNOWN_IDS                     = Error in DCT stream: Unrecognized component IDs %d %d %d, assuming YCbCr. 
0x8A040072:  JPEG_E_JTRC_XMS_CLOSE                       = Error in DCT stream: Freed XMS handle %u. 
0x8A040073:  JPEG_E_JTRC_XMS_OPEN                        = Error in DCT stream: Obtained XMS handle %u. 
0x8A040074:  JPEG_E_JWRN_ADOBE_XFORM                     = Warning in DCT stream: Unknown Adobe color transform code %d. 
0x8A040075:  JPEG_E_JWRN_ARITH_BAD_CODE                  = Warning in DCT stream: Corrupt JPEG data: bad arithmetic code. 
0x8A040076:  JPEG_E_JWRN_BOGUS_PROGRESSION               = Warning in DCT stream: Inconsistent progression sequence for component %d coefficient %d. 
0x8A040077:  JPEG_E_JWRN_EXTRANEOUS_DATA                 = Warning in DCT stream: Corrupt JPEG data: %u extraneous bytes before marker 0x%02x. 
0x8A040078:  JPEG_E_JWRN_HIT_MARKER                      = Warning in DCT stream: Corrupt JPEG data: premature end of data segment. 
0x8A040079:  JPEG_E_JWRN_HUFF_BAD_CODE                   = Warning in DCT stream: Corrupt JPEG data: bad Huffman code. 
0x8A04007A:  JPEG_E_JWRN_JFIF_MAJOR                      = Warning in DCT stream: Warning: unknown JFIF revision number %d.%02d. 
0x8A04007B:  JPEG_E_JWRN_JPEG_EOF                        = Warning in DCT stream: Premature end of JPEG file. 
0x8A04007C:  JPEG_E_JWRN_MUST_RESYNC                     = Warning in DCT stream: Corrupt JPEG data: found marker 0x%02x instead of RST%d. 
0x8A04007D:  JPEG_E_JWRN_NOT_SEQUENTIAL                  = Warning in DCT stream: Invalid SOS parameters for sequential JPEG. 
0x8A04007E:  JPEG_E_JWRN_TOO_MUCH_DATA                   = Warning in DCT stream: Application transferred too many scanlines. 

JPX compression module:
0x8A057F9C:  JPX_ERROR_0       = Error in JPX stream: Fatal. 
0x8A057FA5:  JPX_ERROR_1       = Error in JPX stream: License_Level_Too_Low. 
0x8A057FA6:  JPX_ERROR_2       = Error in JPX stream: Invalid_License. 
0x8A057FB7:  JPX_ERROR_3       = Error in JPX stream: Invalid_Marker. 
0x8A057FB8:  JPX_ERROR_4       = Error in JPX stream: Incompatible_Format. 
0x8A057FB9:  JPX_ERROR_5       = Error in JPX stream: Invalid_Header. 
0x8A057FBA:  JPX_ERROR_6       = Error in JPX stream: Invalid_Label. 
0x8A057FBB:  JPX_ERROR_7       = Error in JPX stream: Maximum_Box_Size_Exceeded. 
0x8A057FBC:  JPX_ERROR_8       = Error in JPX stream: Lossless_Compression_Mode. 
0x8A057FBD:  JPX_ERROR_9       = Error in JPX stream: Invalid_Region. 
0x8A057FBE:  JPX_ERROR_10      = Error in JPX stream: Transcode_Scale_Palette_Images. 
0x8A057FBF:  JPX_ERROR_11      = Error in JPX stream: Transcoding_Finished. 
0x8A057FC0:  JPX_ERROR_12      = Error in JPX stream: Use_SetPalette. 
0x8A057FC1:  JPX_ERROR_13      = Error in JPX stream: Invalid_Channel_Definition. 
0x8A057FC2:  JPX_ERROR_14      = Error in JPX stream: Invalid_Component_Mapping. 
0x8A057FC3:  JPX_ERROR_15      = Error in JPX stream: Missing_Component_Mapping. 
0x8A057FC4:  JPX_ERROR_16      = Error in JPX stream: Invalid_Palette. 
0x8A057FC5:  JPX_ERROR_17      = Error in JPX stream: Missing_Palette. 
0x8A057FC6:  JPX_ERROR_18      = Error in JPX stream: Use_SetLAB_Function. 
0x8A057FC7:  JPX_ERROR_19      = Error in JPX stream: Use_SetICC_Function. 
0x8A057FC8:  JPX_ERROR_20      = Error in JPX stream: Invalid_ICC_Profile. 
0x8A057FC9:  JPX_ERROR_21      = Error in JPX stream: Invalid_Color_Spec_Index. 
0x8A057FCA:  JPX_ERROR_22      = Error in JPX stream: Invalid_Meta_Data_Box_Index. 
0x8A057FCB:  JPX_ERROR_23      = Error in JPX stream: JPX_File_Format_Required. 
0x8A057FCC:  JPX_ERROR_24      = Error in JPX stream: File_Format_Required. 
0x8A057FCD:  JPX_ERROR_25      = Error in JPX stream: Decompression_Cancelled. 
0x8A057FCE:  JPX_ERROR_26      = Error in JPX stream: More_Bytes_Required. 
0x8A057FD3:  JPX_ERROR_27      = Error in JPX stream: Max_Number_Of_ROIs_Reached. 
0x8A057FD5:  JPX_ERROR_28      = Error in JPX stream: Invalid_Resolution_Type. 
0x8A057FD6:  JPX_ERROR_29      = Error in JPX stream: Invalid_Resolution_Unit. 
0x8A057FD7:  JPX_ERROR_30      = Error in JPX stream: Invalid_Resolution. 
0x8A057FD8:  JPX_ERROR_31      = Error in JPX stream: Scale_Factor_Is_Too_Large. 
0x8A057FD9:  JPX_ERROR_32      = Error in JPX stream: ROI_Shift_Failed. 
0x8A057FDA:  JPX_ERROR_33      = Error in JPX stream: Invalid_Precinct_Dimensions. 
0x8A057FDB:  JPX_ERROR_34      = Error in JPX stream: Invalid_Quantization_Filter_Pair. 
0x8A057FDC:  JPX_ERROR_35      = Error in JPX stream: Trial_Time_Expired. 
0x8A057FDD:  JPX_ERROR_36      = Error in JPX stream: Not_Yet_Supported. 
0x8A057FDE:  JPX_ERROR_37      = Error in JPX stream: Invalid_Sample_Rate. 
0x8A057FDF:  JPX_ERROR_38      = Error in JPX stream: Requested_File_Size_Too_Small. 
0x8A057FE0:  JPX_ERROR_39      = Error in JPX stream: Byte_Compression_Mode. 
0x8A057FE1:  JPX_ERROR_40      = Error in JPX stream: Cannot_Find_Suitable_Grid. 
0x8A057FE2:  JPX_ERROR_41      = Error in JPX stream: Read_Callback_Undefined. 
0x8A057FE3:  JPX_ERROR_42      = Error in JPX stream: Write_Callback_Undefined. 
0x8A057FE4:  JPX_ERROR_43      = Error in JPX stream: Input_Callback_Undefined. 
0x8A057FE5:  JPX_ERROR_44      = Error in JPX stream: Bits_Per_Sample_Too_High. 
0x8A057FE6:  JPX_ERROR_45      = Error in JPX stream: Compression_Only_Property. 
0x8A057FE7:  JPX_ERROR_46      = Error in JPX stream: Decompression_Only_Property. 
0x8A057FE8:  JPX_ERROR_47      = Error in JPX stream: Quality_Compression_Mode. 
0x8A057FE9:  JPX_ERROR_48      = Error in JPX stream: Set_Only_Property. 
0x8A057FEA:  JPX_ERROR_49      = Error in JPX stream: Read_Only_Property. 
0x8A057FEB:  JPX_ERROR_50      = Error in JPX stream: Single_Value_For_All_Tiles. 
0x8A057FEC:  JPX_ERROR_51      = Error in JPX stream: Single_Value_For_All_Components. 
0x8A057FED:  JPX_ERROR_52      = Error in JPX stream: Invalid_Stream. 
0x8A057FEE:  JPX_ERROR_53      = Error in JPX stream: Invalid_Wavelet_Filter_Combination. 
0x8A057FEF:  JPX_ERROR_54      = Error in JPX stream: Invalid_Resolution_Level. 
0x8A057FF0:  JPX_ERROR_55      = Error in JPX stream: Invalid_Tile_Index. 
0x8A057FF1:  JPX_ERROR_56      = Error in JPX stream: Invalid_Component_Dimensions. 
0x8A057FF2:  JPX_ERROR_57      = Error in JPX stream: Invalid_Colorspace. 
0x8A057FF3:  JPX_ERROR_58      = Error in JPX stream: Invalid_Tile_Arrangement. 
0x8A057FF4:  JPX_ERROR_59      = Error in JPX stream: Invalid_Bits_Per_Sample. 
0x8A057FF5:  JPX_ERROR_60      = Error in JPX stream: Invalid_Height. 
0x8A057FF6:  JPX_ERROR_61      = Error in JPX stream: Invalid_Width. 
0x8A057FF7:  JPX_ERROR_62      = Error in JPX stream: Invalid_Property_Key. 
0x8A057FF8:  JPX_ERROR_63      = Error in JPX stream: Invalid_Property_Value. 
0x8A057FF9:  JPX_ERROR_64      = Error in JPX stream: Invalid_Component_Index. 
0x8A057FFA:  JPX_ERROR_65      = Error in JPX stream: Invalid_Number_Of_Components. 
0x8A057FFB:  JPX_ERROR_66      = Error in JPX stream: Invalid_Pointer. 
0x8A057FFC:  JPX_ERROR_67      = Error in JPX stream: Invalid_Handle. 
0x8A057FFD:  JPX_ERROR_68      = Error in JPX stream: Failure_Write. 
0x8A057FFE:  JPX_ERROR_69      = Error in JPX stream: Failure_Read. 
0x8A057FFF:  JPX_ERROR_70      = Error in JPX stream: Failure_Malloc. 

XML module:
0x0A080000:  XML_I_GENERAL     = XML line %line%:%column%: %message%. 
0x0A088000:  XML_W_GENERAL     = XML line %line%:%column%: %message%. 
0x8A080000:  XML_E_GENERAL     = XML line %line%:%column%: %message%. 

XMP module:
0x8A090001:  RDF_E_FEATNIMPL           = The RDF feature '%feature%' is not implemented. 
0x8A090002:  RDF_E_ATTRLI              = rdf:li is not allowed as attribute, only as element. 
0x8A090003:  RDF_E_FEATREM             = The RDF feature '%feature%' has been removed from the standard. 
0x0A098004:  RDF_W_FEATNALLOW          = The RDF feature '%feature%' is not allowed. 
0x8A090005:  RDF_E_KEYWORD             = Invalid use of the reserved RDF name 'rdf:%n1%' as %n2%. 
0x0A090006:  RDF_I_RDFNS               = The RDF namespace should not be used outside of the RDF syntax (rdf:%name%). 
0x0A098007:  RDF_W_MULTID              = RDF resources should have only one identifier (rdf:resource, rdf:nodeID, rdf:about, rdf:ID, ...). 
0x8A090008:  RDF_E_PARSETYPE           = rdf:parseType='%type%' not recognized. 
0x0A090009:  RDF_I_NONS                = Property '%property%' without namespace is ignored. 
0x8A09000A:  RDF_E_URI                 = Invalid URI(-reference) &lt;%uri%&gt;. 
0x0A09000B:  RDF_I_UNQUAL              = The unqualified RDF attribute '%attr1%' is deprecated. Use 'rdf:%attr2%' instead. 
0x0A09C001:  XMP_W_PACKET_ENC          = Invalid encoding of XMP packet: %enc%, expected %exp%. 
0x8A094002:  XMP_E_PACKET_ADDCONT      = Additional non-XMP content is not allowed in XMP packet. 
0x0A09C003:  XMP_W_PACKET_NOHEAD       = XMP packet header missing. 
0x0A09C004:  XMP_W_PACKET_NOTRAIL      = XMP packet trailer missing. 
0x0A09C005:  XMP_W_PACKET_ATTRMISS     = Missing attribute %attr% in XMP packet %packet%. 
0x0A094006:  XMP_I_PACKET_ATTRCONT     = Deprecated content of XMP packet %packet% attribute '%attr%': '%content%'. 
0x0A09C006:  XMP_W_PACKET_ATTRCONT     = Invalid content of XMP packet %packet% attribute '%attr%': '%content%'. 
0x0A09C007:  XMP_W_PACKET_ATTRORD      = Invalid order of XMP packet %packet% attribute '%attr%'. 
0x0A09C008:  XMP_W_PACKET_ATTRSPACE    = Invalid spacing of XMP packet %attr% attributes. There must be exactly one space between each attribute. 
0x0A094009:  XMP_I_PACKET_ATTR         = XMP packet %packet% attribute '%attr%' is deprecated. 
0x0A09C009:  XMP_W_PACKET_ATTR         = XMP packet %packet% attribute '%attr%' is forbidden. 
0x0A09400A:  XMP_I_PACKET_ATTRDUP      = Duplicate attribute '%attr%' in XMP packet %packet%. 
0x0A09C401:  XMP_W_META_NORDFELEM      = The rdf:RDF element must not be omitted in XMP. 
0x8A094402:  XMP_E_META_ADDCONT        = The x:xmpmeta element must not contain any elements other than rdf:RDF. 
0x0A09C403:  XMP_W_META_MULTRES        = There is only one RDF resource allowed in XMP. 
0x8A094403:  XMP_E_META_MULTRES        = There is only one RDF resource allowed in XMP. 
0x0A09C404:  XMP_W_META_MAINTYPED      = Toplevel typed nodes are not allowed in XMP (%prefix%:%name%). 
0x8A094405:  XMP_E_META_INVARRELEM     = '%prefix%:%name%' is not allowed in arrays. The elements must be rdf:li or rdf:_N, where N is a positive number. 
0x0A094406:  XMP_I_META_XAPMETA        = The x:xapmeta element is deprecated (but still allowed for compatibility). use x:xmpmeta instead. 
0x0A09C407:  XMP_W_META_INVTYPE        = Node type '%prefix%:%name%' is not allowed in XMP. The only node types allowed are rdf:Bag, rdf:Seq, and rdf:Alt. 
0x0A09C408:  XMP_W_META_DATATYPE       = Typed literals (with rdf:datatype) are not allowed in XMP. 
0x0A09440B:  XMP_I_META_INVNSURI       = Use of invalid namespace URI: &lt;%uri%&gt; does not end with '/' or '#'. 
0x0A09C40B:  XMP_W_META_INVNSURI       = Use of invalid namespace URI: &lt;%uri%&gt; does not end with '/' or '#'. 
0x0A09C40C:  XMP_W_META_ANONRES        = Anonymous RDF resources (rdf:Description without rdf:about attribute) are not allowed in XMP Metadata. 
0x8A09440D:  XMP_E_META_LOOP           = Circular references in RDF resources are not allowed in XMP Metadata. 
0x0A09C40E:  XMP_W_META_MULTPROP       = Multiple occurrences of property '%prefix%:%name%'. 
0x8A094841:  XMP_E_SPARS_NOSCHEMURI    = Namespace URI missing in schema description for '%schema%'. 
0x0A094842:  XMP_I_SPARS_MULTSCHEMURI  = Multiple schema descriptions for schema namespace '%uri%'. 
0x8A094842:  XMP_E_SPARS_MULTSCHEMURI  = Multiple schema descriptions for schema namespace '%uri%'. 
0x8A094843:  XMP_E_SPARS_PROPNONAME    = Property description without name found in schema '%schema%'. 
0x0A09C844:  XMP_W_SPARS_PROPNOTYPE    = Value type missing in property description for '%prop%' in schema '%schema%'. 
0x8A094845:  XMP_E_SPARS_TYPENONAME    = Value type description without name found in schema '%schema%'. 
0x8A094846:  XMP_E_SPARS_FDNONAME      = Field description without name found in value type '%type%' in schema '%schema%'. 
0x0A09C847:  XMP_W_SPARS_FDNOTYPE      = Value type missing in field description for '%field%' in value type '%type%' in schema '%schema%'. 
0x0A09C881:  XMP_W_SVAL_NOSCHEMA       = The schema description for namespace '%prefix%:' (%schema%) is missing. 
0x0A09C882:  XMP_W_SVAL_PROPNDEF       = The property '%prefix%:%name%' is not defined in schema '%schema%'. 
0x0A094883:  XMP_I_SVAL_PROPDEPR       = The property '%prefix%:%name%' is deprecated. Use '%reqprefix%:%reqname%' instead. 
0x0A09C883:  XMP_W_SVAL_PROPDEPR       = The property '%prefix%:%name%' is deprecated and thus forbidden. Use '%reqprefix%:%reqname%' instead. 
0x0A09C884:  XMP_W_SVAL_TYPE           = %XmpPath% :: Wrong value type. Expected type '%type%'. 
0x0A09C885:  XMP_W_SVAL_TYPENDEF       = The value type '%type%' used in an XMP extension schema is undefined. 
0x0A09C886:  XMP_W_SVAL_FDNDEF         = %XmpPath% :: The field '%field%' is not defined in value type '%type%'. 
0x0A094887:  XMP_I_SVAL_PREFIX         = Unusual prefix '%prefix%:' for namespace '%ns%'. The preferred prefix is '%pref%:'. 
0x0A09C887:  XMP_W_SVAL_PREFIX         = Wrong prefix '%prefix%:' for namespace '%ns%'. The required prefix is '%req%:'. 
0x0A09C888:  XMP_W_SVAL_FDNS           = Wrong namespace '%found%' for value type '%type%'. The required namespace is '%exp%'. 
0x0A09C889:  XMP_W_SVAL_FDMISS         = %XmpPath% :: Missing required field '%field%' in value type '%type%'. 
0x0A09C88A:  XMP_W_SVAL_NOLANG         = %XmpPath% :: Missing language qualifier. 
0x0A0948C1:  XMP_I_SREP_RM             = %XmpPath% :: Value removed. 
0x0A09C8C1:  XMP_W_SREP_RM             = %XmpPath% :: Value removed. 
0x0A0948C2:  XMP_I_SREP_MVPROP         = %XmpPath% :: Property renamed to '%prefix%:%name%'. 
0x0A0948C3:  XMP_I_SREP_CHPREFIX       = Changed prefix for schema '%schema%' from '%oldprefix%' to '%newprefix%'. 
0x0A0948C4:  XMP_I_SREP_CHNS           = %XmpPath% :: Changed field namespace from '%oldns%' to '%newns%'. 
0x0A0948C5:  XMP_I_SREP_CHARR          = %XmpPath% :: Changed array type from '%oldarr%' to '%newarr%'. 
0x0A0948C6:  XMP_I_SREP_GENARR         = %XmpPath% :: Wrapped value in array of type '%arrtype%'. 
0x0A0948C7:  XMP_I_SREP_LANG           = %XmpPath% :: Added xml:lang qualifier. 
0x0A0948C8:  XMP_I_SREP_CHVAL          = %XmpPath% :: Changed literal value from '%oldvalue%' to '%newvalue%'. 
0x0A0948C9:  XMP_I_SREP_CHORD          = %XmpPath% :: Reordered array elements. 
0x0A09CC01:  XMP_W_COMP_TYPE           = %XmpPath% :: Nodes have different types: '%type1%' vs. '%type2%'. 
0x0A09CC02:  XMP_W_COMP_LITCONT        = %XmpPath% :: Literals have different content: '%content1%' vs. '%content2%'. 
0x0A09CC03:  XMP_W_COMP_LITLANG        = %XmpPath% :: Literals have different language: '%language1%' vs. '%language2%'. 
0x0A09CC04:  XMP_W_COMP_ARRSIZE        = %XmpPath% :: Arrays have different size: '%size1%' vs. '%size2%'. 
0x0A09CC05:  XMP_W_COMP_QUALIFIER      = %XmpPath% :: Node %lr% missing qualifier '%prefix%:%name%'. 
0x0A09CC06:  XMP_W_COMP_PROPERTY       = Metadata %lr% missing property '%prefix%:%name%'. 
0x0A09CC07:  XMP_W_COMP_PREFIX         = %XmpPath% :: Properties/fields have different prefix: '%prefix1%' vs. '%prefix2%'. 
0x0A09CC08:  XMP_W_COMP_METAURI        = Metadata objects have different URIs: '%uri1%' vs. '%uri2%'. 
0x0A09CC09:  XMP_W_COMP_FIELD          = %XmpPath% :: Structure %lr% missing field '%prefix%:%name%'. 
0x0A09CC0A:  XMP_W_COMP_FIELDNS        = %XmpPath% :: Structures have different field namespaces: '%ns1%' vs. '%ns2%'. 

CCITT Fax compression module:
0x8A0D0000:  TIFF_E_ENTRYTYPE  = Invalid entry type in TIFF dictionary. 

OCR module:
0x8A0E0001:  PDF_E_OCRENGINE   = OCR engine error: '%msg%'. 
0x8A0E0002:  PDF_E_OCR         = OCR error: '%msg%'. 
0x0A0E8003:  PDF_W_OCRCREDITS  = OCR credits low: %count% remaining. 

Flate compression module:
0x8A110001:  FLATE_ERROR_0     = Error in Flate stream: stream end. 
0x8A110002:  FLATE_ERROR_1     = Error in Flate stream: need dictionary. 
0x8A117FFA:  FLATE_ERROR_2     = Error in Flate stream: incompatible version. 
0x8A117FFB:  FLATE_ERROR_3     = Error in Flate stream: buffer error. 
0x8A117FFC:  FLATE_ERROR_4     = Error in Flate stream: insufficient memory. 
0x0A11FFFD:  FLATE_WARNING_6   = Error in Flate stream: data error. 
0x8A117FFD:  FLATE_ERROR_5     = Error in Flate stream: data error. 
0x8A117FFE:  FLATE_ERROR_7     = Error in Flate stream: stream error. 
0x8A117FFF:  FLATE_ERROR_8     = Error in Flate stream: file error. 

License management module:
0x8A120001:  LIC_E_NOTINIT     = License management is not initialized. 
0x8A120002:  LIC_E_NOTSET      = No license set. 
0x8A120003:  LIC_E_NOTFOUND    = License not found. 
0x8A120004:  LIC_E_FORMAT      = Invalid license format. 
0x8A120005:  LIC_E_MANIP       = License was manipulated. 
0x8A120006:  LIC_E_VERSION     = Unsupported license format version. 
0x8A120007:  LIC_E_PRODUCT     = The license does not match the product. 
0x8A120008:  LIC_E_PLATFORM    = The license does not match the current platform. 
0x8A120009:  LIC_E_TYPE        = The license type does not match. 
0x8A12000A:  LIC_E_EXPIRED     = The license has expired. 
0x8A12000B:  LIC_E_MEXPIRED    = The maintainance period has expired. Use an older version of the product. 
0x8A12000C:  LIC_E_LEVEL       = The current license does not permit the use of this function. 
0x8A120101:  LIC_E_STORE_TYPE  = Incorrect type in license store. 
0x8A120102:  LIC_E_STORE_NAME  = Could not determine product name from key. 

Signature module:
0x8A130101:  SIG_CREA_E_SESSION        = Cannot create a session: %msg%        
0x8A130102:  SIG_CREA_E_STORE          = Cannot open certificate store. 
0x8A130103:  SIG_CREA_E_CERT           = Certificate not found in store. 
0x8A130104:  SIG_CREA_E_OCSP           = Couldn't get response from OCSP server. 
0x8A130105:  SIG_CREA_E_TSP            = Couldn't get response from Time-stamp server. 
0x8A130106:  SIG_CREA_E_PRIVKEY        = Private key not available. 
0x8A130107:  SIG_CREA_E_SERVER         = Server error: %msg%         
0x8A130108:  SIG_CREA_E_CRL            = Couldn't get response from CRL server. 
